"Block","Nitrogen - High","Nitrogen - Medium","Nitrogen - Low","Phosphorous - High","Phosphorous - Medium","Phosphorous - Low","Potassium - High","Potassium - Medium","Potassium - Low","OC - High","OC - Medium","OC - Low","EC - Saline","EC - Non Saline","pH - Acidic","pH - Neutral","pH - Alkaline"
"KUNDURPI","0%","0%","100%","0%","100%","0%","100%","0%","0%","0%","0%","100%","0%","100%","0%","33.333333333333336%","66.66666666666667%"
"NARPALA","0%","3.041825095057034%","96.95817490494296%","0.38022813688212925%","92.01520912547528%","7.604562737642586%","57.41444866920152%","42.58555133079848%","0%","0.7604562737642585%","3.4220532319391634%","95.81749049429658%","20.91254752851711%","79.08745247148289%","0%","8.745247148288973%","91.25475285171103%"
"BRAHMASAMUDRAM","0%","4.545454545454546%","95.45454545454545%","9.090909090909092%","90.9090909090909%","0%","81.81818181818181%","18.181818181818183%","0%","0%","18.181818181818183%","81.81818181818181%","13.953488372093023%","86.04651162790698%","15.909090909090908%","72.72727272727273%","11.363636363636363%"
"GOOTY","0%","19.047619047619047%","80.95238095238095%","0%","100%","0%","88.0952380952381%","11.904761904761905%","0%","0%","14.285714285714286%","85.71428571428571%","9.523809523809524%","90.47619047619048%","0%","21.428571428571427%","78.57142857142857%"
"GUNTAKAL","0%","11.538461538461538%","88.46153846153847%","0%","96.15384615384616%","3.8461538461538463%","84.61538461538461%","15.384615384615385%","0%","3.8461538461538463%","11.538461538461538%","84.61538461538461%","23.076923076923077%","76.92307692307692%","0%","23.076923076923077%","76.92307692307692%"
